source,dataset,organ,as,as_iri,age,sex,bmi,tool,cell_type,cell_type_label,cell_type_count,cell_type_percentage,biomarker,mean_expression_value
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,EGFR,1.622931003570557
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,NEGR1,2.159291744232178
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,KAZN,2.553326845169067
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,SOX5,1.986290812492371
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,CALCRL-AS1,1.943530201911926
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,COL4A2,2.011677980422974
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,ACSM3,2.067461967468262
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#H3$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,50,Male,25,celltypist,CL:0000136,Adip2,74,0.01306036004235792,MECOM,1.532949805259705
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,65,Male,20,celltypist,CL:0000136,Adip1,24,0.002847988608045568,OGA,1.691481351852417
HCA,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D7$heart%20right%20ventricle,heart,heart right ventricle,http://purl.obolibrary.org/obo/UBERON_0002080,65,Male,20,celltypist,CL:0000136,Adip1,24,0.002847988608045568,EHBP1,1.573280334472656
